customer_id,date_of_birth,borough,neighborhood,zip_code,name
194,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10010,"Böhm, Julius"
195,01-01-2000,QUEENS,WEST CENTRAL QUEENS,11379,"Lehmann, Dennis"
200,null,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11237,"Sommer, Carlotta"
205,01-01-2005,QUEENS,NORTHWEST QUEENS,11103,"Dietz, Johanna"
206,null,MANHATTAN,UPPER EAST SIDE,10044,"Reuter, Marie"
217,01-01-2000,BROOKLYN,SOUTHWEST BROOKLYN,11214,"Paul, Emma"
225,08-12-1999,STATEN ISLAND,PORT RICHMOND,10302,"Ludwig, Jonas"
233,null,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Möller, Hanna"
234,25-06-2000,MANHATTAN,LOWER MANHATTAN,10280,"Braun, Leon"
239,04-02-2004,QUEENS,SOUTHWEST QUEENS,11419,"Arnold, Mats"
243,12-11-2010,QUEENS,NORTHEAST QUEENS,11363,"Hahn, Florian"
247,01-01-1999,BRONX,HUNTS POINT AND MOTT HAVEN,10459,"Werner, Ruben"
250,16-05-2005,STATEN ISLAND,PORT RICHMOND,10302,"Fuchs, Tobias"
251,01-01-2000,BROOKLYN,BOROUGH PARK,11219,"Maier, Anton"
252,18-07-2011,BRONX,NORTHEAST BRONX,10470,"Jäger, Elias"
253,11-01-2005,MANHATTAN,UPPER WEST SIDE,10025,"Schwarz, Julian"
256,02-04-2010,MANHATTAN,LOWER EAST SIDE,10009,"Albrecht, Maximilian"
258,29-08-1990,QUEENS,JAMAICA,11435,"Baumann, Sebastian"
267,null,QUEENS,WEST QUEENS,11373,"Schulz, Philipp"
270,01-01-1999,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Martens, Antonia"
273,01-01-1999,BROOKLYN,NORTHWEST BROOKLYN,11205,"Jäger, Ole"
274,01-01-1999,QUEENS,NORTHWEST QUEENS,11106,"Schütz, Julian"
275,null,MANHATTAN,LOWER EAST SIDE,10002,"Sommer, Noah"
277,25-09-1999,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Bauer, Malte"
284,01-01-2000,MANHATTAN,CENTRAL HARLEM,10037,"Barth, Dominik"
291,01-01-2000,MANHATTAN,UPPER EAST SIDE,10044,"Weber, Marie"
303,null,QUEENS,JAMAICA,11433,"Kuhnert, Johannes"
304,01-01-2000,BRONX,NORTHEAST BRONX,10475,"Schneider, Lisa"
305,16-05-2016,BROOKLYN,SOUTHWEST BROOKLYN,11228,"Peters, Johanna"
308,22-05-1995,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Braun, Greta"
310,12-11-2010,BROOKLYN,SOUTHWEST BROOKLYN,11214,"Schäfer, Victoria"
315,12-11-2010,BRONX,HUNTS POINT AND MOTT HAVEN,10459,"Heinrich, Greta"
316,16-05-2005,QUEENS,NORTH QUEENS,11354,"Lorenz, Antonia"
317,null,BRONX,HIGH BRIDGE AND MORRISANIA,10451,"Schütz, Ruben"
321,12-11-2010,MANHATTAN,CHELSEA AND CLINTON,10011,"Hartmann, Julian"
324,23-12-1981,BRONX,NORTHEAST BRONX,10475,"Barth, Alina"
325,12-11-2000,STATEN ISLAND,STAPLETON AND ST. GEORGE,10305,"Baumann, Anton"
346,12-11-2010,BROOKLYN,SOUTHERN BROOKLYN,11229,"Jung, Maximilian"
348,null,QUEENS,SOUTHEAST QUEENS,11004,"Engel, Noah"
351,12-11-2010,MANHATTAN,EAST HARLEM,10029,"Walter, Luna"
352,15-10-2010,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11206,"Schreiber, Ruben"
355,01-01-2000,BRONX,NORTHEAST BRONX,10470,"Kopp, Carlotta"
356,16-05-2005,BROOKLYN,BOROUGH PARK,11230,"Becker, David"
358,04-05-2003,BROOKLYN,NORTHWEST BROOKLYN,11201,"Ziegler, Leni"
360,16-02-2005,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Vogel, Laurin"
363,12-11-2010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Richter, Kilian"
372,01-01-2000,QUEENS,JAMAICA,11412,"Schilling, Mats"
375,null,BROOKLYN,BOROUGH PARK,11204,"Klein, Julius"
376,01-01-2000,MANHATTAN,LOWER MANHATTAN,10004,"Freitag, Niklas"
380,null,BRONX,NORTHEAST BRONX,10470,"Bauer, Lisa"
381,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10022,"Groß, Theo"
384,null,BRONX,NORTHEAST BRONX,10470,"Voigt, Lea"
394,12-11-1992,QUEENS,SOUTHEAST QUEENS,11411,"Ludwig, Linus"
397,01-01-2000,QUEENS,SOUTHEAST QUEENS,11411,"Lehmann, Theo"
399,15-04-2003,BRONX,SOUTHEAST BRONX,10461,"Zimmermann, Collin"
401,12-11-2010,BRONX,HUNTS POINT AND MOTT HAVEN,10454,"Köhler, Tobias"
403,null,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Horn, Elisa"
404,null,QUEENS,WEST CENTRAL QUEENS,11374,"Lorenz, Nele"
407,01-01-2000,QUEENS,ROCKAWAYS,11694,"Martens, Sarah"
408,01-01-1999,MANHATTAN,GREENWICH VILLAGE AND SOHO,10012,"Böhm, Paul"
409,null,QUEENS,ROCKAWAYS,11691,"Jäger, Theo"
415,31-05-2016,QUEENS,SOUTHWEST QUEENS,11417,"Horn, Jan"
416,null,MANHATTAN,LOWER MANHATTAN,10004,"Klein, Oskar"
422,12-11-2004,QUEENS,SOUTHEAST QUEENS,11427,"Voigt, Katharina"
429,01-01-2000,BRONX,SOUTHEAST BRONX,10462,"Dietrich, Marco"
430,12-11-2010,QUEENS,JAMAICA,11436,"Engel, Helene"
433,null,STATEN ISLAND,SOUTH SHORE,10308,"Wolf, Mathilda"
435,01-01-2000,MANHATTAN,UPPER EAST SIDE,10075,"Linke, Timo"
439,null,BROOKLYN,FLATBUSH,11225,"Seidel, Ole"
440,01-01-1989,STATEN ISLAND,SOUTH SHORE,10309,"Becker, Frieda"
441,22-12-1991,QUEENS,NORTHWEST QUEENS,11106,"Krämer, Collin"
452,02-05-2014,BROOKLYN,SUNSET PARK,11232,"Linke, Antonia"
454,01-01-1999,QUEENS,NORTHEAST QUEENS,11362,"Langer, Samuel"
460,null,QUEENS,NORTHEAST QUEENS,11361,"Schütz, Fabian"
472,null,BRONX,SOUTHEAST BRONX,10472,"Schreiber, Jonathan"
474,01-01-2000,QUEENS,JAMAICA,11435,"Wagner, Linus"
475,01-01-2000,QUEENS,WEST QUEENS,11370,"Michel, Malte"
478,01-01-2000,MANHATTAN,UPPER WEST SIDE,10023,"Huber, Theo"
479,16-05-2009,MANHATTAN,LOWER EAST SIDE,10009,"Bauer, Jonas"
480,01-01-2000,QUEENS,SOUTHEAST QUEENS,11413,"Lehmann, Leni"
510,01-01-1998,BROOKLYN,SOUTHWEST BROOKLYN,11214,"Horn, Maximilian"
514,12-11-2012,MANHATTAN,LOWER EAST SIDE,10002,"Otto, Julius"
518,01-01-2000,STATEN ISLAND,SOUTH SHORE,10309,"Köhler, Mila"
541,05-09-2000,MANHATTAN,UPPER EAST SIDE,10065,"Simon, Jonas"
548,02-02-2000,QUEENS,SOUTHWEST QUEENS,11419,"Müller, Elisa"
549,null,BROOKLYN,FLATBUSH,11210,"Hahn, Ole"
550,12-11-2010,MANHATTAN,LOWER MANHATTAN,10038,"Reuter, Anna"
566,01-01-2000,BROOKLYN,NORTHWEST BROOKLYN,11205,"Fischer, Jakob"
568,01-01-2015,BROOKLYN,CENTRAL BROOKLYN,11216,"Lang, Nele"
573,01-01-2000,MANHATTAN,GREENWICH VILLAGE AND SOHO,10012,"Köhler, Julian"
579,18-02-1999,MANHATTAN,UPPER EAST SIDE,10044,"Maier, Leon"
583,11-01-2005,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Busch, Jan"
585,01-01-2000,QUEENS,NORTHWEST QUEENS,11105,"Weiß, Tim"
587,01-01-1999,BROOKLYN,CANARSIE AND FLATLANDS,11236,"Lange, Carlotta"
590,22-06-2010,MANHATTAN,LOWER MANHATTAN,10038,"Zimmermann, Julian"
693,01-01-1999,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Richter, Lea"
704,01-01-2000,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Groß, Emilia"
705,22-04-2003,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11237,"Richter, Adrian"
716,null,BRONX,HIGH BRIDGE AND MORRISANIA,10456,"Schütz, Johannes"
720,01-01-2000,BRONX,NORTHEAST BRONX,10469,"Wirth, Malte"
741,24-12-1991,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Krämer, Maximilian"
749,01-01-2000,MANHATTAN,LOWER MANHATTAN,10004,"Pohl, Julian"
756,12-11-2010,QUEENS,SOUTHEAST QUEENS,11429,"Krüger, Maximilian"
759,01-01-2000,STATEN ISLAND,SOUTH SHORE,10312,"Wagner, Luna"
763,01-01-2000,BRONX,SOUTHEAST BRONX,10465,"Simon, Marco"
766,27-03-1983,MANHATTAN,LOWER EAST SIDE,10002,"Reuter, Julian"
789,null,BRONX,KINGSBRIDGE AND RIVERDALE,10463,"Voelker, Johannes"
790,03-09-1989,QUEENS,SOUTHEAST QUEENS,11413,"Kuhn, Anton"
792,16-08-2009,STATEN ISLAND,SOUTH SHORE,10309,"Lehmann, Marlene"
798,null,BROOKLYN,SUNSET PARK,11232,"Groß, Lara"
807,16-05-2005,STATEN ISLAND,STAPLETON AND ST. GEORGE,10305,"Günther, Marlene"
809,12-11-2010,QUEENS,NORTHWEST QUEENS,11101,"Sauer, Julius"
816,28-11-1990,STATEN ISLAND,SOUTH SHORE,10312,"Hartmann, Nora"
823,null,MANHATTAN,CENTRAL HARLEM,10037,"Stephan, Samuel"
862,null,MANHATTAN,CENTRAL HARLEM,10039,"Müller, Mila"
882,01-01-1999,STATEN ISLAND,PORT RICHMOND,10303,"Winkler, Lea"
887,01-01-1999,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Weiß, Theo"
903,01-01-1970,BRONX,NORTHEAST BRONX,10470,"Reuter, Greta"
904,30-06-1999,MANHATTAN,CENTRAL HARLEM,10027,"Schuster, Dennis"
908,null,QUEENS,WEST CENTRAL QUEENS,11375,"Sommer, Jonas"
912,null,QUEENS,NORTH QUEENS,11356,"Lehmann, Nico"
924,12-11-2010,BRONX,HUNTS POINT AND MOTT HAVEN,10474,"Böhm, Luca"
929,10-09-2014,BROOKLYN,GREENPOINT,11222,"Stephan, Collin"
930,01-01-1999,BRONX,CENTRAL BRONX,10453,"Keller, Emil"
934,01-01-2000,BRONX,SOUTHEAST BRONX,10461,"Freitag, Peer"
939,null,QUEENS,SOUTHEAST QUEENS,11005,"Vogel, Vincent"
943,01-01-2000,BROOKLYN,BOROUGH PARK,11218,"Lehmann, Sofia"
947,01-01-2000,BRONX,NORTHEAST BRONX,10475,"Simon, Maximilian"
950,01-01-2000,STATEN ISLAND,PORT RICHMOND,10302,"Schäfer, Frieda"
952,null,MANHATTAN,LOWER MANHATTAN,10038,"Wirth, Emma"
969,null,BRONX,CENTRAL BRONX,10460,"Linke, Carlotta"
975,null,MANHATTAN,LOWER MANHATTAN,10038,"Kaiser, Dennis"
990,04-09-1999,QUEENS,WEST QUEENS,11369,"Lehmann, Jonathan"
993,null,BROOKLYN,SOUTHERN BROOKLYN,11223,"Meyer, Mathilda"
1001,14-03-2006,QUEENS,JAMAICA,11434,"Voelker, Jan"
1002,28-08-2012,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Wolf, Laurin"
1007,12-11-2010,QUEENS,ROCKAWAYS,11692,"Kopp, Alexander"
1014,12-11-2010,QUEENS,WEST QUEENS,11368,"Otto, Sofia"
1025,null,BROOKLYN,BOROUGH PARK,11204,"Horn, Leni"
1031,null,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Fuchs, Luca"
1037,null,MANHATTAN,CHELSEA AND CLINTON,10011,"Groß, Lina"
1038,12-11-2000,QUEENS,ROCKAWAYS,11694,"Wolf, Nils"
1047,01-01-2000,BROOKLYN,NORTHWEST BROOKLYN,11217,"Schröder, Ruben"
1055,09-04-2005,QUEENS,ROCKAWAYS,11695,"Walter, Marie"
1067,01-01-2000,QUEENS,NORTHEAST QUEENS,11361,"Simon, Collin"
1076,01-01-2000,BROOKLYN,CENTRAL BROOKLYN,11238,"Böhm, Frieda"
1080,20-02-1998,QUEENS,JAMAICA,11436,"Köhler, Moritz"
1089,null,QUEENS,SOUTHWEST QUEENS,11421,"Graf, Lisa"
1094,null,STATEN ISLAND,SOUTH SHORE,10307,"Meyer, Victoria"
1101,01-01-2000,BROOKLYN,NORTHWEST BROOKLYN,11231,"Kopp, Ella"
1111,01-01-2005,BROOKLYN,BOROUGH PARK,11204,"Möller, Johannes"
1129,12-11-2000,BROOKLYN,SOUTHWEST BROOKLYN,11209,"Schuster, Adrian"
1146,null,MANHATTAN,UPPER WEST SIDE,10024,"Wirth, Victoria"
1173,01-01-2000,BROOKLYN,CENTRAL BROOKLYN,11233,"Brandt, Dominik"
1195,01-01-1999,BROOKLYN,CENTRAL BROOKLYN,11238,"Jung, Luca"
1207,01-01-1999,BROOKLYN,GREENPOINT,11211,"Winkler, Mathilda"
1215,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10010,"Bauer, Samuel"
1218,01-01-2000,QUEENS,NORTH QUEENS,11357,"Hofmann, Luisa"
1242,14-05-2002,QUEENS,ROCKAWAYS,11695,"Scholz, Nils"
1249,01-01-2000,MANHATTAN,UPPER EAST SIDE,10021,"Lorenz, Nils"
1253,01-01-2000,QUEENS,JAMAICA,11434,"Roth, Elias"
1254,01-01-2000,QUEENS,WEST QUEENS,11368,"Wagner, Peer"
1271,null,QUEENS,SOUTHWEST QUEENS,11421,"Lange, Paul"
1273,08-09-2009,BROOKLYN,NORTHWEST BROOKLYN,11205,"Roth, Luca"
1283,01-01-2000,QUEENS,JAMAICA,11423,"Heinrichs, Melina"
1295,null,QUEENS,ROCKAWAYS,11693,"Schneider, Tim"
1304,21-01-1992,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10022,"Kopp, Clara"
1316,15-02-2009,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Baumann, Fabian"
1326,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Möller, Mia"
1336,09-07-2007,MANHATTAN,CHELSEA AND CLINTON,10020,"Hartmann, Mila"
1353,01-01-2000,MANHATTAN,CHELSEA AND CLINTON,10018,"Vogel, Luca"
1364,01-05-2000,QUEENS,ROCKAWAYS,11693,"Lehmann, Tobias"
1365,25-06-1995,MANHATTAN,EAST HARLEM,10029,"Klein, Nora"
1371,null,QUEENS,SOUTHWEST QUEENS,11418,"Kuhn, Lisa"
1375,01-01-2000,BRONX,NORTHEAST BRONX,10469,"Voelker, Levi"
1382,01-01-2000,BROOKLYN,BOROUGH PARK,11204,"Kühn, Elisa"
1388,25-09-2005,QUEENS,NORTH QUEENS,11355,"Schulz, Elias"
1425,01-01-2000,QUEENS,WEST QUEENS,11370,"Lang, Carlotta"
1442,01-01-2000,BROOKLYN,BUSHWICK AND WILLIAMSBURG,11237,"Stark, Collin"
1451,01-01-2000,BROOKLYN,BOROUGH PARK,11218,"Werner, Nele"
1462,03-06-1992,MANHATTAN,CHELSEA AND CLINTON,10036,"Schilling, Hanna"
1463,null,MANHATTAN,LOWER EAST SIDE,10009,"Kuhn, Sofia"
1469,29-10-2005,MANHATTAN,CHELSEA AND CLINTON,10019,"Dietz, Julian"
1478,null,BRONX,CENTRAL BRONX,10460,"Werner, Lennard"
1481,01-01-2000,MANHATTAN,CENTRAL HARLEM,10026,"Stephan, Clara"
1482,07-09-1998,BRONX,BRONX PARK AND FORDHAM,10467,"Schäfer, Julius"
1488,01-01-2000,BROOKLYN,SUNSET PARK,11232,"Winkler, Maxim"
1494,01-01-2000,MANHATTAN,UPPER WEST SIDE,10025,"Groß, Tim"
1511,null,BRONX,HUNTS POINT AND MOTT HAVEN,10455,"Hoffmann, Luisa"
1513,01-01-2008,QUEENS,JAMAICA,11412,"Schäfer, Samuel"
1516,null,QUEENS,SOUTHEAST QUEENS,11428,"Kuhnert, Julian"
1517,12-11-2004,MANHATTAN,LOWER MANHATTAN,10005,"Schuster, Paul"
1520,05-09-2017,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Reuter, Dennis"
1527,null,QUEENS,ROCKAWAYS,11693,"Groß, Sebastian"
1530,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Dietrich, Oskar"
1533,01-01-2000,BRONX,KINGSBRIDGE AND RIVERDALE,10471,"Barth, Melina"
1538,18-10-1975,BRONX,HUNTS POINT AND MOTT HAVEN,10454,"Fischer, Alexander"
1557,01-01-2000,MANHATTAN,UPPER WEST SIDE,10025,"Meyer, Kilian"
1567,26-10-2008,MANHATTAN,CHELSEA AND CLINTON,10020,"Winkler, Simon"
1595,12-11-2005,MANHATTAN,CHELSEA AND CLINTON,10018,"Langer, Julius"
1603,25-09-2002,BRONX,SOUTHEAST BRONX,10461,"Hofmann, Leon"
1618,null,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Weiß, Marlene"
1623,01-01-2000,MANHATTAN,LOWER EAST SIDE,10002,"Kaiser, Nico"
1635,24-01-2014,QUEENS,SOUTHWEST QUEENS,11419,"Möller, Victoria"
1655,14-10-2000,QUEENS,NORTHEAST QUEENS,11362,"Jäger, Leni"
1659,01-10-2007,QUEENS,NORTH QUEENS,11360,"Voigt, Timo"
1660,null,BRONX,HUNTS POINT AND MOTT HAVEN,10459,"Stark, Emma"
1891,null,BROOKLYN,EAST NEW YORK AND NEW LOTS,11208,"Bauer, Anton"
1894,01-01-2005,MANHATTAN,LOWER MANHATTAN,10038,"Stephan, Levi"
1905,01-01-2000,BRONX,SOUTHEAST BRONX,10472,"Linke, Johannes"
1912,17-05-2006,QUEENS,ROCKAWAYS,11693,"Wirth, Maximilian"
1930,12-11-2008,QUEENS,CENTRAL QUEENS,11365,"Michel, David"
1933,null,QUEENS,WEST CENTRAL QUEENS,11374,"Voelker, Emil"
1935,01-01-1999,MANHATTAN,LOWER MANHATTAN,10007,"Schwarz, Victoria"
1942,01-01-2000,STATEN ISLAND,SOUTH SHORE,10306,"Hahn, Hanna"
1947,02-04-2012,MANHATTAN,LOWER MANHATTAN,10006,"Schmid, Finn"
1954,16-05-1998,BRONX,CENTRAL BRONX,10457,"Fischer, Amelie"
1957,01-02-2006,BROOKLYN,CANARSIE AND FLATLANDS,11239,"Scholten, Mia"
1961,null,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Ludwig, Nele"
1965,20-01-1974,BROOKLYN,FLATBUSH,11226,"Schreiber, Florian"
1973,12-11-2010,STATEN ISLAND,SOUTH SHORE,10309,"Langer, Kilian"
1981,01-01-2000,BROOKLYN,FLATBUSH,11226,"Roth, Alexander"
1989,01-01-2000,BROOKLYN,GREENPOINT,11222,"Linke, Elias"
2020,null,STATEN ISLAND,MID-ISLAND,10314,"Hartmann, Marie"
2021,01-01-2000,BROOKLYN,BOROUGH PARK,11219,"Huber, Aaron"
2045,01-01-2000,BRONX,NORTHEAST BRONX,10469,"Huber, Nico"
2052,01-01-2000,BROOKLYN,GREENPOINT,11211,"Weber, Laurin"
2057,null,QUEENS,SOUTHWEST QUEENS,11416,"Werner, Theo"
2063,null,BROOKLYN,BOROUGH PARK,11230,"Krüger, Nele"
2071,01-01-2000,QUEENS,WEST QUEENS,11373,"Köhler, Lea"
2079,25-06-2009,STATEN ISLAND,MID-ISLAND,10314,"Schneider, Paul"
2092,01-01-2000,BROOKLYN,CANARSIE AND FLATLANDS,11236,"Horn, Frieda"
2108,01-01-2000,BROOKLYN,FLATBUSH,11210,"Krüger, Elias"
2115,12-11-2010,MANHATTAN,UPPER EAST SIDE,10021,"Beck, Emilia"
2118,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Neumann, Ruben"
2122,null,BRONX,HIGH BRIDGE AND MORRISANIA,10451,"Weber, Luis"
2135,12-11-2010,QUEENS,JAMAICA,11432,"Walter, Leni"
2137,null,BROOKLYN,CANARSIE AND FLATLANDS,11236,"Zimmermann, Fabian"
2138,01-01-2000,QUEENS,SOUTHEAST QUEENS,11004,"Kühn, Alina"
2146,null,MANHATTAN,LOWER MANHATTAN,10038,"Weber, Johannes"
2151,02-05-1986,QUEENS,NORTH QUEENS,11360,"Baumann, Nils"
2156,12-11-2010,QUEENS,SOUTHEAST QUEENS,11005,"Seidel, Marco"
2187,15-09-2005,QUEENS,ROCKAWAYS,11697,"Heinrich, Laurin"
2188,01-01-1999,MANHATTAN,UPPER EAST SIDE,10028,"Sauer, Malte"
2213,null,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Fuchs, Clara"
2218,null,QUEENS,NORTHEAST QUEENS,11364,"Schilling, Collin"
2224,07-06-2004,STATEN ISLAND,PORT RICHMOND,10310,"Zimmermann, Oskar"
2245,12-11-2010,MANHATTAN,CHELSEA AND CLINTON,10036,"Heinrichs, Charlotte"
2254,02-09-2009,BROOKLYN,NORTHWEST BROOKLYN,11217,"Heinrichs, David"
2270,01-01-2000,QUEENS,NORTH QUEENS,11357,"Maier, Hannes"
2272,16-01-2000,QUEENS,NORTHEAST QUEENS,11362,"Scholz, Noah"
2297,12-11-2010,QUEENS,WEST CENTRAL QUEENS,11375,"Huber, Fabian"
2300,null,MANHATTAN,LOWER MANHATTAN,10006,"Maier, Emma"
2319,01-01-2000,BRONX,BRONX PARK AND FORDHAM,10467,"Pohl, Paula"
2339,18-08-2003,QUEENS,NORTH QUEENS,11357,"Kopp, Ruben"
2344,01-01-1999,MANHATTAN,CHELSEA AND CLINTON,10001,"Lange, Tim"
2359,null,BROOKLYN,CENTRAL BROOKLYN,11213,"Reuter, Collin"
2377,08-06-2008,BROOKLYN,EAST NEW YORK AND NEW LOTS,11207,"Schütz, Frieda"
2381,04-05-2016,QUEENS,NORTH QUEENS,11355,"Krämer, Emil"
2386,01-01-1999,MANHATTAN,LOWER MANHATTAN,10006,"Simon, Charlotte"
2427,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10016,"Jäger, Nele"
2437,null,BROOKLYN,SUNSET PARK,11232,"Schmitt, Nils"
2448,null,STATEN ISLAND,SOUTH SHORE,10308,"Krüger, Carlotta"
2459,15-06-2003,QUEENS,ROCKAWAYS,11693,"Werner, Noah"
2462,01-01-1999,QUEENS,WEST QUEENS,11370,"Schmid, Vincent"
2482,null,QUEENS,NORTH QUEENS,11355,"Dietrich, Jakob"
2488,18-05-2008,MANHATTAN,LOWER MANHATTAN,10004,"Braun, Carlotta"
2505,12-11-2010,QUEENS,JAMAICA,11432,"Günther, Mats"
2523,15-11-1995,QUEENS,SOUTHWEST QUEENS,11414,"Koch, Luna"
2525,01-01-2000,QUEENS,ROCKAWAYS,11695,"Klein, Pascal"
2526,null,QUEENS,CENTRAL QUEENS,11365,"Wirth, Samuel"
2530,12-11-2010,BROOKLYN,FLATBUSH,11203,"Schmitt, Paula"
2547,01-01-2000,QUEENS,SOUTHWEST QUEENS,11414,"Braun, Jakob"
2549,null,QUEENS,NORTHWEST QUEENS,11104,"Busch, Leon"
2556,01-01-2000,QUEENS,NORTH QUEENS,11356,"Voelker, Katharina"
2564,null,BROOKLYN,FLATBUSH,11210,"Kühn, Mats"
2581,12-11-2010,MANHATTAN,UPPER EAST SIDE,10044,"Lorenz, Timo"
2599,18-10-1997,MANHATTAN,UPPER EAST SIDE,10021,"Weber, Moritz"
2607,19-05-2001,QUEENS,WEST CENTRAL QUEENS,11385,"Langer, Niklas"
2609,12-12-2006,BRONX,SOUTHEAST BRONX,10461,"Lange, Luisa"
2611,01-01-2000,QUEENS,SOUTHWEST QUEENS,11414,"Berger, Julius"
2635,21-06-1999,BROOKLYN,CANARSIE AND FLATLANDS,11234,"Schulz, Luis"
2655,14-05-2008,QUEENS,SOUTHWEST QUEENS,11418,"Sommer, Emilia"
2658,28-07-2011,MANHATTAN,CENTRAL HARLEM,10030,"Seidel, Emma"
2660,02-04-2014,MANHATTAN,CHELSEA AND CLINTON,10036,"Dietrich, Collin"
2667,12-11-2010,STATEN ISLAND,SOUTH SHORE,10308,"Koch, Mila"
2690,27-06-2013,QUEENS,NORTH QUEENS,11356,"Böhm, Malte"
2691,12-11-2010,QUEENS,SOUTHWEST QUEENS,11415,"Maier, Nils"
2698,null,BRONX,CENTRAL BRONX,10460,"Peters, Nele"
2699,01-01-1999,BRONX,HUNTS POINT AND MOTT HAVEN,10454,"Peters, Frieda"
2701,null,QUEENS,CENTRAL QUEENS,11366,"Otto, Niklas"
2708,null,BROOKLYN,CANARSIE AND FLATLANDS,11239,"Scholten, Melina"
2711,27-12-2005,MANHATTAN,CENTRAL HARLEM,10027,"Dietrich, Timo"
2713,null,MANHATTAN,CHELSEA AND CLINTON,10011,"Wagner, Lisa"
2733,null,STATEN ISLAND,PORT RICHMOND,10303,"Becker, Florian"
2734,12-11-2010,QUEENS,NORTH QUEENS,11357,"Vogel, Helene"
2745,07-03-1976,STATEN ISLAND,SOUTH SHORE,10308,"Kühn, Marco"
2755,null,BROOKLYN,SOUTHWEST BROOKLYN,11209,"Werner, Alina"
